Date,Type,Flight Number,Ident,Departure,Enroute,Arrival,Duration,ASEL,AMEL,ASES,AMES,Heli,Experi-mental,Light Sport,Glider,Balloon,Lighter Than Air,Day,Night,Day Land,Night Land,Actual Inst.,Simulated Inst.,FTD,Num App..,X-C,X-C > 50,Solo,Dual Rec'd,Dual Given,PIC,SIC,FAR 61,FAR 141,FAR 91,FAR 121,FAR 135,High Perf.,Complex,Tail Wheel,Jet,Flight Review?,Remarks,
11/20/2022,E-Jet,DL5651,N240JQ,KBOS,,KRIC,2.1,,2.1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,David Otey,
11/21/2022,E-Jet,DL5658,N227JQ,KRIC,,KBOS,1.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Otey,
11/22/2022,E-Jet,AA4317,N126HQ,KBOS,,KJFK,1.3,,1.3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Michael Murphy,
11/22/2022,E-Jet,AA4781,N452YX,KJFK,,KDCA,1.5,,1.5,,,,,,,,,,1.5,1,1,,,,1,,,,,,,,,,,,,,,,,,Michael Murphy,
11/22/2022,E-Jet,AA4642,N452YX,KDCA,,KPVD,1.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Murphy,
11/23/2022,E-Jet,AA4400,N421YX,KPVD,,KDCA,1.5,,1.5,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Michael Murphy,
11/23/2022,E-Jet,AA4501,N115HQ,KDCA,,KIND,1.8,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Murphy,
11/23/2022,E-Jet,AA4342,N115HQ,KIND,,KBOS,2.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Murphy,
11/28/2022,E-Jet,AA4302,N429YX,KBOS,,KJFK,1.4,,1.4,,,,,,,,,,1.4,,1,,,,1,,,,,,,,,,,,,,,,,,John MINIHANE,
11/28/2022,E-Jet,AA4500,N426YX,KJFK,,KDCA,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
11/28/2022,E-Jet,AA4367,N404YX,KDCA,,KPVD,1.2,,1.2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,John MINIHANE,
11/29/2022,E-Jet,AA4452,N450YX,KPVD,,KDCA,2.1,,2.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
11/29/2022,E-Jet,AA4417,N450YX,KDCA,,KPBI,3.2,,3.2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
11/29/2022,E-Jet,AA4563,N450YX,KPBI,,KDCA,2.6,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
11/30/2022,E-Jet,AA4504,N414YX,KMEM,,KBOS,2.6,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
11/30/2022,E-Jet,AA4317,N449YX,KBOS,,KJFK,1.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
11/30/2022,E-Jet,AA4349,N133HQ,KJFK,,KBOS,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
12/2/2022,E-Jet,AA4509,N430YX,KLGA,,KRDU,1.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Cabrera,
12/2/2022,E-Jet,AA4545,N430YX,KRDU,,KLGA,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Cabrera,
12/2/2022,E-Jet,AA4471,N444YX,KLGA,,KMEM,3.1,,3.1,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,Freddy Cabrera,
12/3/2022,E-Jet,AA4720,N434YX,KMEM,,KDCA,1.8,,1.8,,,,,,,,,,,1,,1.8,,,1,,,,,,,,,,,,,,,,,,Freddy Cabrera,
12/3/2022,E-Jet,AA4668,N118HQ,KDCA,,KJFK,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Cabrera,
12/3/2022,E-Jet,AA4778,N118HQ,KJFK,,KCLE,1.8,,1.8,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,Freddy Cabrera,
